titre	mots clés	descriptions	licence	licence url	format des requêtes	exemple de requêtes	formats de réponses	Api	jeux de données	date du jeux de données	guide
Oeuvres, concerts, vocabulaires contrôlés  DOREMUS (tous jeux de données)	musique, oeuvres	Jeux de données RDF comprenant la description d'oeuvres musicales - toutes les oeuvres du catalogue BnF, toutes les oeuvres du catalogue de la Philharmonie, sélection d'oeuvres du catalogue de Radio France (musique classique et traditionnelle)	etalab	https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf	sparql	http://data.doremus.org/queries.html et https://github.com/DOREMUS-ANR/knowledge-base/tree/master/query-examples	xsl, rdf, xml/rdf, csv, html, json 	http://data.doremus.org/sparql	https://github.com/DOREMUS-ANR/knowledge-base/tree/master/data	21/11/2017	http://data.doremus.org/ontology/ et https://github.com/DOREMUS-ANR/doremus-ontology et https://github.com/DOREMUS-ANR/training 
Oeuvres BnF - DOREMUS	musique, oeuvres	Jeux de données complet des oeuvres extraites du catalogue de la BnF au format RDF, ontology DOREMUS	etalab	https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf	sparql	http://data.doremus.org/queries.html et https://github.com/DOREMUS-ANR/knowledge-base/tree/master/query-examples	xsl, rdf, xml/rdf, csv, html, json 	http://data.doremus.org/sparql	https://github.com/DOREMUS-ANR/knowledge-base/tree/master/data/bnf	1/1/2015	http://data.doremus.org/ontology/  et https://github.com/DOREMUS-ANR/doremus-ontology et https://github.com/DOREMUS-ANR/training 
Oeuvres et Concerts Philharmonie de Paris - DOREMUS	musique, oeuvres, concerts	Jeux de données complet des oeuvres et concerts extraits du catalogue de la Philharmonie de Paris au format RDF, ontology DOREMUS	etalab	https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf	sparql	http://data.doremus.org/queries.html et https://github.com/DOREMUS-ANR/knowledge-base/tree/master/query-examples	xsl, rdf, xml/rdf, csv, html, json 	http://data.doremus.org/sparql	https://github.com/DOREMUS-ANR/knowledge-base/tree/master/data/philharmonie	14/11/2017	http://data.doremus.org/ontology/  et https://github.com/DOREMUS-ANR/doremus-ontology et https://github.com/DOREMUS-ANR/training 
Oeuvres Radio France (jeux redomi) - DOREMUS	musique, oeuvres	Jeux de données des oeuvres extraits du catalogue de Radio France (base redomi) au format RDF, ontology DOREMUS	etalab	https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf	sparql	http://data.doremus.org/queries.html et https://github.com/DOREMUS-ANR/knowledge-base/tree/master/query-examples	xsl, rdf, xml/rdf, csv, html, json 	http://data.doremus.org/sparql	https://github.com/DOREMUS-ANR/knowledge-base/tree/master/data/redomi	1/7/2015	http://data.doremus.org/ontology/  et https://github.com/DOREMUS-ANR/doremus-ontology et https://github.com/DOREMUS-ANR/training 
Oeuvres et Concerts Radio France (jeux itema3) - DOREMUS	musique, oeuvres, concerts	Jeux de données des oeuvres et concerts extraits du catalogue de Radio France (base itema 3) au format RDF, ontology DOREMUS	etalab	https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf	sparql	http://data.doremus.org/queries.html et https://github.com/DOREMUS-ANR/knowledge-base/tree/master/query-examples	xsl, rdf, xml/rdf, csv, html, json 	http://data.doremus.org/sparql	https://github.com/DOREMUS-ANR/knowledge-base/tree/master/data/itema3	15/9/2017	http://data.doremus.org/ontology/  et https://github.com/DOREMUS-ANR/doremus-ontology et https://github.com/DOREMUS-ANR/training 
Catalogues d'oeuvres DOREMUS	musique, catalogues	Liste des catalogues musicaux édité par DOREMUS	etalab	https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf	sparql	http://data.doremus.org/queries.html et https://github.com/DOREMUS-ANR/knowledge-base/tree/master/query-examples	xsl, rdf, xml/rdf, csv, html, json 	http://data.doremus.org/sparql	https://github.com/DOREMUS-ANR/knowledge-base/blob/master/vocabularies/catalogue.ttl	6/11/2017	http://data.doremus.org/ontology/  et https://github.com/DOREMUS-ANR/doremus-ontology et https://github.com/DOREMUS-ANR/training 
Derivation DOREMUS	musique, vocabulaire contrôlé, skos	Liste des types de dérivation des oeuvres musicales édité par DOREMUS	etalab	https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf	sparql	http://data.doremus.org/queries.html et https://github.com/DOREMUS-ANR/knowledge-base/tree/master/query-examples	xsl, rdf, xml/rdf, csv, html, json 	http://data.doremus.org/sparql	https://github.com/DOREMUS-ANR/knowledge-base/blob/master/vocabularies/derivation.ttl	6/11/2017	http://data.doremus.org/ontology/  et https://github.com/DOREMUS-ANR/doremus-ontology et https://github.com/DOREMUS-ANR/training 
Genre IAML	musique, vocabulaire contrôlé, skos	Liste des genres musicaux - IAML	cc by 4.0	https://creativecommons.org/licenses/by/4.0/	sparql	http://data.doremus.org/queries.html et https://github.com/DOREMUS-ANR/knowledge-base/tree/master/query-examples	xsl, rdf, xml/rdf, csv, html, json 	http://data.doremus.org/sparql	https://github.com/DOREMUS-ANR/knowledge-base/blob/master/vocabularies/genre-iaml.ttl	7/11/2017	http://data.doremus.org/ontology/  et https://github.com/DOREMUS-ANR/doremus-ontology et https://github.com/DOREMUS-ANR/training 
Genre RAMEAU	musique, vocabulaire contrôlé, skos	Liste des genres musicaux - RAMEAU	etalab	https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf	sparql	http://data.doremus.org/queries.html et https://github.com/DOREMUS-ANR/knowledge-base/tree/master/query-examples	xsl, rdf, xml/rdf, csv, html, json 	http://data.doremus.org/sparql	https://github.com/DOREMUS-ANR/knowledge-base/blob/master/vocabularies/genre-rameau.ttl	27/11/2017	http://data.doremus.org/ontology/  et https://github.com/DOREMUS-ANR/doremus-ontology et https://github.com/DOREMUS-ANR/training 
Tonalités DOREMUS	musique, vocabulaire contrôlé, skos	Liste des tonalités éditées par DOREMUS	cc by 4.0	https://creativecommons.org/licenses/by/4.0/	sparql	http://data.doremus.org/queries.html et https://github.com/DOREMUS-ANR/knowledge-base/tree/master/query-examples	xsl, rdf, xml/rdf, csv, html, json 	http://data.doremus.org/sparql	https://github.com/DOREMUS-ANR/knowledge-base/blob/master/vocabularies/key.ttl	6/11/2017	http://data.doremus.org/ontology/  et https://github.com/DOREMUS-ANR/doremus-ontology et https://github.com/DOREMUS-ANR/training 
Mode DOREMUS	musique, vocabulaire contrôlé, skos	Liste des modes musicaux éditée par DOREMUS	cc by 4.0	https://creativecommons.org/licenses/by/4.0/	sparql	http://data.doremus.org/queries.html et https://github.com/DOREMUS-ANR/knowledge-base/tree/master/query-examples	xsl, rdf, xml/rdf, csv, html, json 	http://data.doremus.org/sparql	https://github.com/DOREMUS-ANR/knowledge-base/blob/master/vocabularies/mode.ttl	6/11/2017	http://data.doremus.org/ontology/  et https://github.com/DOREMUS-ANR/doremus-ontology et https://github.com/DOREMUS-ANR/training 
Instruments MIMO 	musique, vocabulaire contrôlé, skos	Liste des instruments - Référentiel MIMO - multilingue	cc by 4.0	https://creativecommons.org/licenses/by/4.0/	sparql	http://data.doremus.org/queries.html et https://github.com/DOREMUS-ANR/knowledge-base/tree/master/query-examples	xsl, rdf, xml/rdf, csv, html, json 	http://data.doremus.org/sparql	https://github.com/DOREMUS-ANR/knowledge-base/blob/master/vocabularies/mop-mimo.ttl	23/4/2017	http://data.doremus.org/ontology/  et https://github.com/DOREMUS-ANR/doremus-ontology et https://github.com/DOREMUS-ANR/training 
Instruments RAMEAU 	musique, vocabulaire contrôlé, skos	Liste des instruments - Thésaurus RAMEAU	etalab	https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf	sparql	http://data.doremus.org/queries.html et https://github.com/DOREMUS-ANR/knowledge-base/tree/master/query-examples	xsl, rdf, xml/rdf, csv, html, json 	http://data.doremus.org/sparql	https://github.com/DOREMUS-ANR/knowledge-base/blob/master/vocabularies/mop-rameau.ttl	6/12/2016	http://data.doremus.org/ontology/  et https://github.com/DOREMUS-ANR/doremus-ontology et https://github.com/DOREMUS-ANR/training 
Instruments IAML  	musique, vocabulaire contrôlé, skos	Liste des instruments - Référentiel IAML	cc by 4.0	https://creativecommons.org/licenses/by/4.0/	sparql	http://data.doremus.org/queries.html et https://github.com/DOREMUS-ANR/knowledge-base/tree/master/query-examples	xsl, rdf, xml/rdf, csv, html, json 	http://data.doremus.org/sparql	https://github.com/DOREMUS-ANR/knowledge-base/blob/master/vocabularies/mop-iaml.ttl	7/11/2017	http://data.doremus.org/ontology/  et https://github.com/DOREMUS-ANR/doremus-ontology et https://github.com/DOREMUS-ANR/training 